# code;slog;name;alternateName;componentProductType;descriptionLongVerum;descriptionShortVerum;primaryImage;imagemThumbNail;otherImages;supercategories;approvalstatus;catalogversion
1522;ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105.html;Ar Condicionado Portátil 10500 BTU/s Frio 110V Delonghi PAC C105;Ar Condicionado Portátil 10500 BTU/s Frio 110V Delonghi PAC C105;;O ar condicionado portátil Delonghi não exige a mudança de tubulações ou obras para fazer sua instalação. Ele possui adaptadores de janela na tubulação para saída do ar quente e tem sistema de condensação que não tem necessidade de colocar e retirar água. O ar portátil Delonghi é compacto, prático e versátil, com alças e rodinhas para ajudar a transportá-lo com facilidade.;O ar Condicionado portátil Delonghi é prático e não exige instalação. Compre o seu aqui na CentralAr.com com economia e rapidez.;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
1522;ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105.html;Ar Condicionado Portátil 10500 BTU/s Frio 110V Delonghi PAC C105;Ar Condicionado Portátil 10500 BTU/s Frio 110V Delonghi PAC C105;;O ar condicionado portátil Delonghi não exige a mudança de tubulações ou obras para fazer sua instalação. Ele possui adaptadores de janela na tubulação para saída do ar quente e tem sistema de condensação que não tem necessidade de colocar e retirar água. O ar portátil Delonghi é compacto, prático e versátil, com alças e rodinhas para ajudar a transportá-lo com facilidade.;O ar Condicionado portátil Delonghi é prático e não exige instalação. Compre o seu aqui na CentralAr.com com economia e rapidez.;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/delonghi/portatil/1522/ar-condicionado-portatil-10500-btus-frio-110v-delonghi-pac-c105_Fot1522_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
1812;ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb.html;Ar Condicionado Janela Manual Springer Midea 10000 Btus Frio 110v 1F QCI108BB;Ar Condicionado Janela Manual Springer Midea 10000 Btus Frio 110v 1F QCI108BB;;O ar de janela Springer tem potência de 10000 BTUs com funcionalidades que garantem bem-estar para o seu ambiente. Seu inovador sistema de renovação de ar realiza a troca de ar que dissipa fumaças e odores para deixar o ar mais limpo e saudável. O ar Springer Midea refrigera o ambiente de maneira uniforme e com rapidez com sua dupla saída de ar. O ciclo frio garante ar fresco e agradável e você ainda economiza na conta, porque ele tem classificação B de energia. O ar de janela Springer Midea é o mais silencioso da categoria e com ele você terá bem-estar em qualquer ambiente.;O ar de janela Springer tem potência de 10000 BTUs que garante bem-estar para o seu ambiente. Aproveite o menor preço na CentralAr.com, cobrimos qualquer oferta.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1812/ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb_Fot1812_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1812/ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb_Fot1812_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
1812;ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb.html;Ar Condicionado Janela Manual Springer Midea 10000 Btus Frio 110v 1F QCI108BB;Ar Condicionado Janela Manual Springer Midea 10000 Btus Frio 110v 1F QCI108BB;;O ar de janela Springer tem potência de 10000 BTUs com funcionalidades que garantem bem-estar para o seu ambiente. Seu inovador sistema de renovação de ar realiza a troca de ar que dissipa fumaças e odores para deixar o ar mais limpo e saudável. O ar Springer Midea refrigera o ambiente de maneira uniforme e com rapidez com sua dupla saída de ar. O ciclo frio garante ar fresco e agradável e você ainda economiza na conta, porque ele tem classificação B de energia. O ar de janela Springer Midea é o mais silencioso da categoria e com ele você terá bem-estar em qualquer ambiente.;O ar de janela Springer tem potência de 10000 BTUs que garante bem-estar para o seu ambiente. Aproveite o menor preço na CentralAr.com, cobrimos qualquer oferta.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1812/ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb_Fot1812_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1812/ar-condicionado-janela-manual-springer-midea-10000-btus-frio-110v-1f-qci108bb_Fot1812_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
1966;ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb.html;Ar Condicionado Janela Manual Springer Midea 7.500 Btus Frio 127v 1F QCI078BB;Ar Condicionado Janela Manual Springer Midea 7.500 Btus Frio 127v 1F QCI078BB;;O ar de janela Springer tem sistema de renovação de ar que permite a troca de ar e dissipa fumaças e odores deixando o ambiente mais saudável. Com dupla saída de ar, ele refresca o ambiente rapidamente e de maneira uniforme. Com operação eficiente, o ar Condicionado de janela tem classificação A de energia e é supereconômico. Silencioso, o ar de janela Springer Midea é garantia de um ambiente agradável e fresquinho.;O ar de janela Springer Midea 7500 BTUs é garantia de um ambiente agradável e fresquinho. Compre pelo menor preço em até 10x sem juros no cartão.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1966/ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb_Fot1966_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1966/ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb_Fot1966_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
1966;ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb.html;Ar Condicionado Janela Manual Springer Midea 7.500 Btus Frio 127v 1F QCI078BB;Ar Condicionado Janela Manual Springer Midea 7.500 Btus Frio 127v 1F QCI078BB;;O ar de janela Springer tem sistema de renovação de ar que permite a troca de ar e dissipa fumaças e odores deixando o ambiente mais saudável. Com dupla saída de ar, ele refresca o ambiente rapidamente e de maneira uniforme. Com operação eficiente, o ar Condicionado de janela tem classificação A de energia e é supereconômico. Silencioso, o ar de janela Springer Midea é garantia de um ambiente agradável e fresquinho.;O ar de janela Springer Midea 7500 BTUs é garantia de um ambiente agradável e fresquinho. Compre pelo menor preço em até 10x sem juros no cartão.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1966/ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb_Fot1966_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1966/ar-condicionado-janela-manual-springer-midea-7500-btus-frio-127v-1f-qci078bb_Fot1966_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
1968;ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb.html;Ar Condicionado Janela Mecânico Springer Midea 12.000 Btus Frio 127v 1F MCI128BB;Ar Condicionado Janela Mecânico Springer Midea 12.000 Btus Frio 127v 1F MCI128BB;;O ar condicionado Janela Manual Springer Midea. Possui dois níveis de velocidade, baixa e alta garantindo mais conforto na utilização do seu ar condicionado, além disso possui Fluído Refrigerante Ecológico R410-A não inflamável, atóxico e menos nocivo à camada de ozônio. Com o Springer Midea você terá dias mais agradáveis e econômicos, pois o ar condicionado Janela Springer Midea é classificação B de enérgica no INMETRO.;O ar de janela Springer Midea 12000 BTUs é a opção perfeita para sua casa. Confira tudo sobre este produto na CentralAr.com.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1968/ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb_Fot1968_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1968/ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb_Fot1968_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
1968;ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb.html;Ar Condicionado Janela Mecânico Springer Midea 12.000 Btus Frio 127v 1F MCI128BB;Ar Condicionado Janela Mecânico Springer Midea 12.000 Btus Frio 127v 1F MCI128BB;;O ar condicionado Janela Manual Springer Midea. Possui dois níveis de velocidade, baixa e alta garantindo mais conforto na utilização do seu ar condicionado, além disso possui Fluído Refrigerante Ecológico R410-A não inflamável, atóxico e menos nocivo à camada de ozônio. Com o Springer Midea você terá dias mais agradáveis e econômicos, pois o ar condicionado Janela Springer Midea é classificação B de enérgica no INMETRO.;O ar de janela Springer Midea 12000 BTUs é a opção perfeita para sua casa. Confira tudo sobre este produto na CentralAr.com.;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1968/ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb_Fot1968_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/springer-midea/janela/1968/ar-condicionado-janela-mecanico-springer-midea-12000-btus-frio-127v-1f-mci128bb_Fot1968_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
2316;ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana.html;Ar Condicionado Janela Manual Consul 7500 Btus Frio 127V Monofasico CCB07EBANA;Ar Condicionado Janela Manual Consul 7500 Btus Frio 127V Monofasico CCB07EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2316;ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana.html;Ar Condicionado Janela Manual Consul 7500 Btus Frio 127V Monofasico CCB07EBANA;Ar Condicionado Janela Manual Consul 7500 Btus Frio 127V Monofasico CCB07EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2316/ar-condicionado-janela-manual-consul-7500-btus-frio-127v-monofasico-ccb07ebana_Fot2316_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
