# code;components;@POWER_SUPPLY;@IDEAL_FOR_ENVIRONMENT;@MANUFACTURER;@COLOR;@MIN_MAX_NOMINAL_CAPACITY;@CONDENSER_MATERIAL;@BACKLIT_REMOTE_CONTROL;@STABLE_TEMPERATURE_CONTROL;@EVAPORATOR_TEMPERATURE_INDICATOR;@BREEZE_FUNCTION;@DEHUMIDIFICATION;@ANTI_BACTERIA_FILTER;@CLEAR_FILTER_WARNING;@ANTI_CORROSION_PROTECTION;@MEMORY;@TURBO;@SWING;@VENTILATION_SPEED_REGULATION;@SLEEP;@TIMER;@WIDTH;@PACKAGE_CONTENT;@NET_WEIGHT;@GROSS_WEIGHT;@DEPTH;@HEIGHT;@EER;@REFRIGERANT_GAS;@CAPACITY;@PRODUCT_WARRANTY;@CONDENSER_TYPE;@AIR_FLOW;@LIQUID_LINE_DIAMETER;@INTERNAL_NOISE_LEVEL;@EXTERNAL_NOISE_LEVEL;@REMOTE_CONTROL;@SUCTION_LINE_DIAMETER;@SERPENTINE_MATERIAL;@LEFT_RIGHT_AIR_CONTROL;@UP_DOWN_AIR_CONTROL;@ENERGY_CONSUMPTION;@COMPRESSOR_TECNOLOGY;@PHASE;@COOLING_POWER;@VOLTAGE;@EAN_CODE;@CYCLE;@ELETRIC_COOLING_CURRENT;@ENERGETIC_CLASSIFICATION_INMETRO;@CAPACITY_BTU;@HEATING_POWER;@ELETRIC_HEATING_CURRENT;@FREQUENCY;catalogVersion
1522;Evaporadora_1522:centralArProductCatalog:Staged;;;Delonghi;Gelo;;;false;false;true;false;true;true;false;false;false;false;false;true;false;true;;;;;;;;R410-A;;Garantia de 5 anos no compressor e 2 anos nas demais peças concedido pela Delonghi conforme descrito no Manual do fabricante.;;240-330;;51;;true;;;manual;manual;;onOff;singlePhase;1200W;110V;;cold;;;10500;;;60;centralArProductCatalog:Staged
1522;Evaporadora_1522:centralArProductCatalog:Online;;;Delonghi;Gelo;;;false;false;true;false;true;true;false;false;false;false;false;true;false;true;;;;;;;;R410-A;;Garantia de 5 anos no compressor e 2 anos nas demais peças concedido pela Delonghi conforme descrito no Manual do fabricante.;;240-330;;51;;true;;;manual;manual;;onOff;singlePhase;1200W;110V;;cold;;;10500;;;60;centralArProductCatalog:Online
1812;Evaporadora_1812:centralArProductCatalog:Staged;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;true;false;false;false;false;false;true;false;false;;;;;;;2,94;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;374 m³/h;;49,5;49,5;false;;coper;manual;manual;21;onOff;singlePhase;996W;110V;;cold;8,65A;b_inmetro;10000;;;60;centralArProductCatalog:Staged
1812;Evaporadora_1812:centralArProductCatalog:Online;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;true;false;false;false;false;false;true;false;false;;;;;;;2,94;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;374 m³/h;;49,5;49,5;false;;coper;manual;manual;21;onOff;singlePhase;996W;110V;;cold;8,65A;b_inmetro;10000;;;60;centralArProductCatalog:Online
1966;Evaporadora_1966:centralArProductCatalog:Staged;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;false;false;false;false;true;false;false;false;false;;;;;;;2,93;R410-A;7500;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;350;;46,0;46,0;false;;coper;manual;manual;16;onOff;singlePhase;750W;110V;;cold;6,05A;a_inmetro;7500;;;60;centralArProductCatalog:Staged
1966;Evaporadora_1966:centralArProductCatalog:Online;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;false;false;false;false;true;false;false;false;false;;;;;;;2,93;R410-A;7500;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;350;;46,0;46,0;false;;coper;manual;manual;16;onOff;singlePhase;750W;110V;;cold;6,05A;a_inmetro;7500;;;60;centralArProductCatalog:Online
1968;Evaporadora_1968:centralArProductCatalog:Staged;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;2,96;R410-A;12000;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;460;;47,5;47,5;false;;coper;manual;manual;25,0;onOff;singlePhase;1189;110V;;cold;10A;b_inmetro;12000;;;60Hz;centralArProductCatalog:Staged
1968;Evaporadora_1968:centralArProductCatalog:Online;evaporator;;Springer Midea;Branco;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;2,96;R410-A;12000;A garantia deste produto é de 1 ano concedido pela Springer Midea conforme descrito no Manual do fabricante.;horizontal;460;;47,5;47,5;false;;coper;manual;manual;25,0;onOff;singlePhase;1189;110V;;cold;10A;b_inmetro;12000;;;60Hz;centralArProductCatalog:Online
2316;Evaporadora_2316:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;false;false;false;true;false;true;false;false;false;true;false;false;;;;;;;2,94;R22;;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;false;;coper;manual;manual;15,7;onOff;singlePhase;748W;110V;;cold;6,1A;a_inmetro;7500;;;60;centralArProductCatalog:Staged
2316;Evaporadora_2316:centralArProductCatalog:Online;evaporator;;Consul;Branco;;;false;false;false;false;false;true;false;true;false;false;false;true;false;false;;;;;;;2,94;R22;;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;false;;coper;manual;manual;15,7;onOff;singlePhase;748W;110V;;cold;6,1A;a_inmetro;7500;;;60;centralArProductCatalog:Online
2318;Evaporadora_2318:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;true;false;true;true;true;false;false;true;false;true;true;true;;;;;;;2,94;R22;7500;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;true;;coper;manual;manual;15,7;onOff;singlePhase;748W;110V;;cold;6,1A;a_inmetro;7500;;;60;centralArProductCatalog:Staged
2318;Evaporadora_2318:centralArProductCatalog:Online;evaporator;;Consul;Branco;;;false;false;true;false;true;true;true;false;false;true;false;true;true;true;;;;;;;2,94;R22;7500;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;true;;coper;manual;manual;15,7;onOff;singlePhase;748W;110V;;cold;6,1A;a_inmetro;7500;;;60;centralArProductCatalog:Online
2320;Evaporadora_2320:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;false;false;false;true;false;true;false;false;false;true;false;false;;;;;;;3,04;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;530;;56;56;false;;coper;manual;manual;20,2;onOff;singlePhase;964W;110V;;cold;7,8A;a_inmetro;10000;;;60;centralArProductCatalog:Staged
2320;Evaporadora_2320:centralArProductCatalog:Online;evaporator;;Consul;Branco;;;false;false;false;false;false;true;false;true;false;false;false;true;false;false;;;;;;;3,04;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;530;;56;56;false;;coper;manual;manual;20,2;onOff;singlePhase;964W;110V;;cold;7,8A;a_inmetro;10000;;;60;centralArProductCatalog:Online
2328;Evaporadora_2328:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;false;false;false;false;false;true;false;false;false;true;false;true;;;;;;;3,04;R22;12000;Garantia de 1 ano concedida pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;true;;coper;manual;manual;24,5;onOff;singlePhase;1157W;110V;;cold;9,4A;a_inmetro;12000;;;60;centralArProductCatalog:Staged
2328;Evaporadora_2328:centralArProductCatalog:Online;evaporator;;Consul;Branco;;;false;false;false;false;false;false;false;true;false;false;false;true;false;true;;;;;;;3,04;R22;12000;Garantia de 1 ano concedida pela Consul conforme descrito no Manual do fabricante.;horizontal;420;;51;51;true;;coper;manual;manual;24,5;onOff;singlePhase;1157W;110V;;cold;9,4A;a_inmetro;12000;;;60;centralArProductCatalog:Online
2329;Evaporadora_2329:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;true;false;true;true;true;true;false;true;false;true;true;true;;;;;;;3,04;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;530;;56;56;true;;coper;manual;manual;20,2;onOff;singlePhase;964W;110V;;cold;7,8A;a_inmetro;10000;;;60;centralArProductCatalog:Staged
2329;Evaporadora_2329:centralArProductCatalog:Online;evaporator;;Consul;Branco;;;false;false;true;false;true;true;true;true;false;true;false;true;true;true;;;;;;;3,04;R410-A;10000;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;530;;56;56;true;;coper;manual;manual;20,2;onOff;singlePhase;964W;110V;;cold;7,8A;a_inmetro;10000;;;60;centralArProductCatalog:Online
2442;Evaporadora_2442:centralArProductCatalog:Staged;evaporator;;Agratto;Branco;;;true;true;true;true;true;false;false;false;true;false;true;true;true;true;;;;;;;3,24;R410-A;11000;Garantia de 1 ano concedido pela Agratto conforme descrito no Manual do fabricante.;;410;;52;;true;;;manual;automatic;;onOff;singlePhase;1050W;110V;;cold;;;11000;;;60;centralArProductCatalog:Staged
2442;Evaporadora_2442:centralArProductCatalog:Online;evaporator;;Agratto;Branco;;;true;true;true;true;true;false;false;false;true;false;true;true;true;true;;;;;;;3,24;R410-A;11000;Garantia de 1 ano concedido pela Agratto conforme descrito no Manual do fabricante.;;410;;52;;true;;;manual;automatic;;onOff;singlePhase;1050W;110V;;cold;;;11000;;;60;centralArProductCatalog:Online
248;Evaporadora_248:centralArProductCatalog:Staged;evaporator;;Consul;Branco;;;false;false;false;false;false;true;false;true;false;false;false;false;false;false;;;;;;;3,13;R22;12000;A garantia deste produto é de 1 ano concedido pela Consul conforme descrito no Manual do fabricante.;horizontal;530;;54;54;false;;coper;manual;manual;24,5;onOff;singlePhase;1.125;220V;;cold;6,1A;a_inmetro;12000;;;60;centralArProductCatalog:Staged
