# code;name;componentType;supercategories;approvalstatus;catalogversion
Evaporadora_1522;Evaporadora;Evap Portatil;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1522;Evaporadora;Evap Portatil;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_1812;Evaporadora;Evap Janela sem Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1812;Evaporadora;Evap Janela sem Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_1966;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1966;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_1968;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1968;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2316;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2316;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2318;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2318;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2320;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2320;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2328;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2328;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2329;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2329;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2442;Evaporadora;Evap Portatil;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2442;Evaporadora;Evap Portatil;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_248;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_248;Evaporadora;Evap Janela com Moldura;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_1141;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1141;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_1244;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_1244;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
