# code;@EAN_CODE;@WIDTH;@HEIGHT;@DEPTH;@GROSS_WEIGHT;catalogVersion
Evaporadora_1522;8004399512085;430;773;372;32;centralArProductCatalog:Staged
Evaporadora_1522;8004399512085;430;773;372;32;centralArProductCatalog:Online
Evaporadora_1812;7898626572871;460;325;440;25;centralArProductCatalog:Staged
Evaporadora_1812;7898626572871;460;325;440;25;centralArProductCatalog:Online
Evaporadora_1966;7898626572840;460;325;440;21,8;centralArProductCatalog:Staged
Evaporadora_1966;7898626572840;460;325;440;21,8;centralArProductCatalog:Online
Evaporadora_1968;7898626572901;580;385;600;36,1;centralArProductCatalog:Staged
Evaporadora_1968;7898626572901;580;385;600;36,1;centralArProductCatalog:Online
Evaporadora_2316;7891129255890;480;330;482;23,3;centralArProductCatalog:Staged
Evaporadora_2316;7891129255890;480;330;482;23,3;centralArProductCatalog:Online
Evaporadora_2318;7891129263529;480;330;482;21,8;centralArProductCatalog:Staged
Evaporadora_2318;7891129263529;480;330;482;21,8;centralArProductCatalog:Online
Evaporadora_2320;7891129263543;480;330;482;24,8;centralArProductCatalog:Staged
Evaporadora_2320;7891129263543;480;330;482;24,8;centralArProductCatalog:Online
Evaporadora_2328;7891129234543;665;400;705;40;centralArProductCatalog:Staged
Evaporadora_2328;7891129234543;665;400;705;40;centralArProductCatalog:Online
Evaporadora_2329;7891129263574;480;330;482;24,8;centralArProductCatalog:Staged
Evaporadora_2329;7891129263574;480;330;482;24,8;centralArProductCatalog:Online
Evaporadora_2442;7898461970078;400;795;480;28,5;centralArProductCatalog:Staged
Evaporadora_2442;7898461970078;400;795;480;28,5;centralArProductCatalog:Online
Evaporadora_248;7891129161696;665;400;705;40;centralArProductCatalog:Staged
Evaporadora_248;7891129161696;665;400;705;40;centralArProductCatalog:Online
Evaporadora_1141;;710;250;195;8,5;centralArProductCatalog:Staged
Evaporadora_1141;;710;250;195;8,5;centralArProductCatalog:Online
Evaporadora_1244;;1080;330;228;15,5;centralArProductCatalog:Staged
Evaporadora_1244;;1080;330;228;15,5;centralArProductCatalog:Online
Evaporadora_1719;7898054803875;900;210;190;14;centralArProductCatalog:Staged
Evaporadora_1719;7898054803875;900;210;190;14;centralArProductCatalog:Online
Evaporadora_1720;7898626572178;1200;210;190;12;centralArProductCatalog:Staged
Evaporadora_1720;7898626572178;1200;210;190;12;centralArProductCatalog:Online
Evaporadora_1721;7898626572185;1500;210;190;14,7;centralArProductCatalog:Staged
Evaporadora_1721;7898626572185;1500;210;190;14,7;centralArProductCatalog:Online
Evaporadora_1801;7898626572734;720;285;204;6,8;centralArProductCatalog:Staged
Evaporadora_1801;7898626572734;720;285;204;6,8;centralArProductCatalog:Online
Evaporadora_1802;7898626572772;810;285;204;7,4;centralArProductCatalog:Staged
Evaporadora_1802;7898626572772;810;285;204;7,4;centralArProductCatalog:Online
Evaporadora_1804;7898626572703;810;285;204;7,4;centralArProductCatalog:Staged
Evaporadora_1804;7898626572703;810;285;204;7,4;centralArProductCatalog:Online
Evaporadora_1806;7898626572710;957;302;223;10;centralArProductCatalog:Staged
Evaporadora_1806;7898626572710;957;302;223;10;centralArProductCatalog:Online
Evaporadora_1807;7898626572673;1038;327;235;12;centralArProductCatalog:Staged
Evaporadora_1807;7898626572673;1038;327;235;12;centralArProductCatalog:Online
Evaporadora_1808;7898626572727;1038;327;235;12;centralArProductCatalog:Staged
Evaporadora_1808;7898626572727;1038;327;235;12;centralArProductCatalog:Online
Evaporadora_1809;7898626573311;1250;325;230;19,4;centralArProductCatalog:Staged
Evaporadora_1809;7898626573311;1250;325;230;19,4;centralArProductCatalog:Online
Evaporadora_1810;7898626573328;1250;325;230;19,4;centralArProductCatalog:Staged
Evaporadora_1810;7898626573328;1250;325;230;19,4;centralArProductCatalog:Online
Evaporadora_1811;7898626572826;460;325;440;21,8;centralArProductCatalog:Staged
Evaporadora_1811;7898626572826;460;325;440;21,8;centralArProductCatalog:Online
Evaporadora_1813;7898626574226;580;385;600;36;centralArProductCatalog:Staged
Evaporadora_1813;7898626574226;580;385;600;36;centralArProductCatalog:Online
Evaporadora_1816;7898626572857;460;325;440;25;centralArProductCatalog:Staged
Evaporadora_1816;7898626572857;460;325;440;25;centralArProductCatalog:Online
Evaporadora_1819;4974437487856;840;268;203;8,5;centralArProductCatalog:Staged
Evaporadora_1819;4974437487856;840;268;203;8,5;centralArProductCatalog:Online
Evaporadora_1820;4974437487450;840;268;203;8,5;centralArProductCatalog:Staged
Evaporadora_1820;4974437487450;840;268;203;8,5;centralArProductCatalog:Online
Evaporadora_1841;4974437363723;990;199;655;27;centralArProductCatalog:Staged
Evaporadora_1841;4974437363723;990;199;655;27;centralArProductCatalog:Online
Evaporadora_1842;4974437363921;990;199;655;27;centralArProductCatalog:Staged
Evaporadora_1842;4974437363921;990;199;655;27;centralArProductCatalog:Online
Evaporadora_1843;4974437371025;1660;240;700;46;centralArProductCatalog:Staged
Evaporadora_1843;4974437371025;1660;240;700;46;centralArProductCatalog:Online
Evaporadora_1847;4974437364355;570;245;570;15;centralArProductCatalog:Staged
Evaporadora_1847;4974437364355;570;245;570;15;centralArProductCatalog:Online
Evaporadora_1849;4974437370813;840;288;840;26;centralArProductCatalog:Staged
Evaporadora_1849;4974437370813;840;288;840;26;centralArProductCatalog:Online
Evaporadora_1867;7898626572482;980;325;225;11,1;centralArProductCatalog:Staged
Evaporadora_1867;7898626572482;980;325;225;11,1;centralArProductCatalog:Online
Evaporadora_1868;7898626572512;810;300;200;8,4;centralArProductCatalog:Staged
Evaporadora_1868;7898626572512;810;300;200;8,4;centralArProductCatalog:Online
Evaporadora_1886;7892509088039;1065;298;230;11,5;centralArProductCatalog:Staged
Evaporadora_1886;7892509088039;1065;298;230;11,5;centralArProductCatalog:Online
Evaporadora_1890;7898626573786;1090;338;235;13,8;centralArProductCatalog:Staged
Evaporadora_1890;7898626573786;1090;338;235;13,8;centralArProductCatalog:Online
Evaporadora_1900;7898626574912;1195;233;628;30,7;centralArProductCatalog:Staged
Evaporadora_1900;7898626574912;1195;233;628;30,7;centralArProductCatalog:Online
Evaporadora_1916;7898626574912;1195;233;628;24,5;centralArProductCatalog:Staged
Evaporadora_1916;7898626574912;1195;233;628;24,5;centralArProductCatalog:Online
Evaporadora_1934;7898626574301;1090;338;235;13,8;centralArProductCatalog:Staged
Evaporadora_1934;7898626574301;1090;338;235;13,8;centralArProductCatalog:Online
Evaporadora_1969;7898626572529;980;325;225;11,1;centralArProductCatalog:Staged
Evaporadora_1969;7898626572529;980;325;225;11,1;centralArProductCatalog:Online
Evaporadora_1972;7898626573601;840;287;840;28,1;centralArProductCatalog:Staged
Evaporadora_1972;7898626573601;840;287;840;28,1;centralArProductCatalog:Online
Evaporadora_2000;4974437083195;998;320;238;14;centralArProductCatalog:Staged
Evaporadora_2000;4974437083195;998;320;238;14;centralArProductCatalog:Online
Evaporadora_2001;4974437077262;998;320;238;14;centralArProductCatalog:Staged
Evaporadora_2001;4974437077262;998;320;238;14;centralArProductCatalog:Online
Evaporadora_2020;7892509093248;1065;298;230;11,5;centralArProductCatalog:Staged
Evaporadora_2020;7892509093248;1065;298;230;11,5;centralArProductCatalog:Online
Evaporadora_2021;7898461966613;800;270;200;7,7;centralArProductCatalog:Staged
Evaporadora_2021;7898461966613;800;270;200;7,7;centralArProductCatalog:Online
Evaporadora_2022;7898461966620;800;270;200;7,7;centralArProductCatalog:Staged
Evaporadora_2022;7898461966620;800;270;200;7,7;centralArProductCatalog:Online
Evaporadora_2028;7898461966682;1040;330;230;16;centralArProductCatalog:Staged
Evaporadora_2028;7898461966682;1040;330;230;16;centralArProductCatalog:Online
Evaporadora_2043;7892509093125;820;285;215;7,9;centralArProductCatalog:Staged
Evaporadora_2043;7892509093125;820;285;215;7,9;centralArProductCatalog:Online
Evaporadora_2045;7892509093187;820;285;215;8,5;centralArProductCatalog:Staged
Evaporadora_2045;7892509093187;820;285;215;8,5;centralArProductCatalog:Online
Evaporadora_2063;7892509093156;820;285;215;7,8;centralArProductCatalog:Staged
Evaporadora_2063;7892509093156;820;285;215;7,8;centralArProductCatalog:Online
Evaporadora_2064;4974437077286;998;320;238;13,5;centralArProductCatalog:Staged
Evaporadora_2064;4974437077286;998;320;238;13,5;centralArProductCatalog:Online
Evaporadora_2096;7898626576138;810;300;200;8,3;centralArProductCatalog:Staged
Evaporadora_2096;7898626576138;810;300;200;8,3;centralArProductCatalog:Online
Evaporadora_2097;7898626576121;730;293;198;7,3;centralArProductCatalog:Staged
Evaporadora_2097;7898626576121;730;293;198;7,3;centralArProductCatalog:Online
Evaporadora_2110;4974437077279;998;320;238;13;centralArProductCatalog:Staged
Evaporadora_2110;4974437077279;998;320;238;13;centralArProductCatalog:Online
Evaporadora_2111;4974437338769;998;320;238;13,5;centralArProductCatalog:Staged
Evaporadora_2111;4974437338769;998;320;238;13,5;centralArProductCatalog:Online
Evaporadora_2127;7893299911293;837;307;189;8,6;centralArProductCatalog:Staged
Evaporadora_2127;7893299911293;837;307;189;8,6;centralArProductCatalog:Online
Evaporadora_2128;8806098188086;980;330;210;10,5;centralArProductCatalog:Staged
Evaporadora_2128;8806098188086;980;330;210;10,5;centralArProductCatalog:Online
Evaporadora_2129;7893299911316;980;330;210;10,5;centralArProductCatalog:Staged
Evaporadora_2129;7893299911316;980;330;210;10,5;centralArProductCatalog:Online
Evaporadora_2144;7892509099707;820;285;215;8;centralArProductCatalog:Staged
Evaporadora_2144;7892509099707;820;285;215;8;centralArProductCatalog:Online
Evaporadora_2145;7891129264847;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2145;7891129264847;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2146;7891129264816;840;280;220;11;centralArProductCatalog:Staged
Evaporadora_2146;7891129264816;840;280;220;11;centralArProductCatalog:Online
Evaporadora_2152;7891129265059;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2152;7891129265059;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2153;7891129265042;840;280;220;9;centralArProductCatalog:Staged
Evaporadora_2153;7891129265042;840;280;220;9;centralArProductCatalog:Online
Evaporadora_2154;7891129264809;770;280;220;8;centralArProductCatalog:Staged
Evaporadora_2154;7891129264809;770;280;220;8;centralArProductCatalog:Online
Evaporadora_2155;7891129265028;1110;330;240;13;centralArProductCatalog:Staged
Evaporadora_2155;7891129265028;1110;330;240;13;centralArProductCatalog:Online
Evaporadora_2156;7891129265011;930;330;240;12;centralArProductCatalog:Staged
Evaporadora_2156;7891129265011;930;330;240;12;centralArProductCatalog:Online
Evaporadora_2157;7891129265004;840;280;220;9;centralArProductCatalog:Staged
Evaporadora_2157;7891129265004;840;280;220;9;centralArProductCatalog:Online
Evaporadora_2158;7891129264991;770;280;220;8;centralArProductCatalog:Staged
