# code;supercategories;catalogversion
1812;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1812;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1966;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1966;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1968;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1968;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
2316;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2316;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2318;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2318;JANELA_7000_8500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2320;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2320;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2328;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2328;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2329;JANELA_9000_10500:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2329;JANELA_9000_10500:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2442;PORTATIL_11000_12000:centralArProductCatalog:Staged,PORTATIL_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2442;PORTATIL_11000_12000:centralArProductCatalog:Online,PORTATIL_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
248;JANELA_11000_12000:centralArProductCatalog:Staged,JANELA_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
248;JANELA_11000_12000:centralArProductCatalog:Online,JANELA_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
1719;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1719;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1720;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1720;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1721;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1721;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_SPRINGER:centralArProductCatalog:Online;centralArProductCatalog:Online
1801;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1801;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1802;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1802;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1804;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1804;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1806;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1806;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1807;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1807;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1808;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1808;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1809;SPLIT_27000_32000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1809;SPLIT_27000_32000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1810;SPLIT_27000_32000:centralArProductCatalog:Staged,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
1810;SPLIT_27000_32000:centralArProductCatalog:Online,SPLIT_SPRINGER_MIDEA:centralArProductCatalog:Online;centralArProductCatalog:Online
1811;JANELA_7000_8500:centralArProductCatalog:Staged,JANELA_SPRINGER_MIDEA:centralArProductCatalog:Staged;centralArProductCatalog:Staged
